Materialnummer,Kurztext,Einkaufsbestelltext
38,Lager 6203 2RS1 VQ658 SKF,"Rillenkugellager
6203-2RS1-VQ658
SKF"
39,GT-Motor R147DRN180M4,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R147DRN180M4
Leistung [kW]: 18,500 kW
Antriebsmoment (ma x ): 13.000,00 NM
Antriebsmoment (nenn): 6.320,00 NM
N1 Antriebsdrehzahl: 1.478,00 1/min
N2 Abtriebsdrehzahl: 28,00 1/min
Getriebeübersetzung i: 52,870
Spannung [50Hz]: 400D/690Y
Bauform: M1
Isolierklasse: Iso-Kl.:B (tma x =130°C)
Schutzart: IP54-Staubablage/Spritzwasser
Energieeffizienzklasse: IE3 Premium Efficiency"
40,Servomotor AM80330E210000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8033-0E21-0000
Leistung                       0,940 kW
N1 Antriebsdrehzahl            3.000,00 1/min
Antriebsmoment                 3,20 Nm
Spannung                       400V
Strom                          2,1 A
Isolierklasse                  F
Schutzart                      IP54
Motor-Bremse                   24V DC 12W
Thermo KTY                     Ja
Art.Nr.:                       139774"
41,Servomotor AKM32E-ACCNC-00,"Servomotor
Hersteller:                     KOLLMORGEN
Typbezeichnung:                 AKM32E-ACCNC-00
Leistung [kW]:                  0,100 kW
N1 Antriebsdrehzahl:            8.000,00 1/min
Antriebsmoment:                 2,04 NM
Spannung [50Hz]:                400V
Schutzart:                      IP54-Staubablage/Spritzwasser"
42,"Mutter M36x1,5-17H 9218201324 LINDE","Mutter
M36x1,5-17H
9218201324
LINDE"
43,Schraube M36x3x240 DIN912 12.9 schw.,"Zylinderschraube mit Innensechskant
M36 x 3 x 240
DIN 912
12.9
schwarz"
44,Lager 16010 SKF,"Lager
16010
SKF"
45,Schraube M6x35 DIN 835 8.8 verzinkt.,"Stiftschraube mit Einschraubende
M6 x 35
DIN 835
8.8
verzinkt"
46,Lager 21311 EC3 SKF,"Pendelrollenlager
21311 E C3
SKF"
47,Lager NCF 2932 V SKF,"Zylinderrollenlager
NCF 2932 V
SKF"
48,Radialwellendichtring 35x62x7 B1SL,"Radialwellendichtring
35x62x7
B1SL"
49,PN-Zylinder ADN-25-25-I-P-A 536263 FESTO,"Kompaktzylinder
ADN-25-25-I-P-A
536263
FESTO"
50,Schraube M30x240 DIN 912 12.9 schwarz.,"Zylinderschraube mit Innensechskant
M30 x 240
DIN 912
12.9
schwarz"
51,Lager 61903 2Z SKF,"Rillenkugellager
61903 2Z
SKF"
52,Servomotor AM80520J210000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8052-0J21-0000
Leistung 2,890 kW
N1 Antriebsdrehzahl 4.000,00 1/min
Antriebsmoment 8,20 NM
Spannung 400V
Strom 6,3 A
Isolierklasse F
Schutzart IP54
Motor-Bremse 24V DC 18W
Thermo KTY Ja
Art.Nr.: 138325"
53,Lager 23134 E1AM SKF,"Lager
23134 E1AM
SKF"
54,"Kettenrad B-1 1 1/2"" Z34 TLB 3030 gehae.","Kettenrad einfach
1 1/2"" Z34 TL3030 vorbereitet
Nabenüberstand 25/27
Zahnkranz gehärtet"
55,Wellendichtring 35x62x10 BASL,"Wellendichtring
35x62x10
BASL"
56,Schraube M10 x 120 DIN 603 4.6 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M10 x 120
4.6
verzinkt"
57,Lager 23940 CC/W33 SKF,"Lager
23940 CC/W33
SKF"
58,Radialwellendichtring 35x62x10 NBR/VA B,"Radialwellendichtring
35x62x10
Form B
NBR/VA
DOMSEL"
59,Kettenrad KR90D100 Z10 d=90H7,"Kettenrad
KR90D100
Z = 10
10 Zähne, Zahnbreite 11 mm, nach oben verlängert
Rollendurchmesser 45mm
Nabengesamtlänge 71 mm, einseitig
Nabendurchmesser 130mm
aus S152-3, ungehärtet, mit Bohrung 90H7 ohne Nut"
60,Schraube M20x130 DIN 938 8.8 schwarz.,"Stiftschraube
M20 x 130
DIN 938
8.8
schwarz"
61,Kettenrad 3-518-11-0150 HOMAG,"Kettenrad gehärtet
10B-1
Z = 14
D35+K 1:12
3-518-11-0150
HOMAG"
62,Modul 6SN1123-1AA00-0CA1 SIEMENS,Modul 6SN1123-1AA00-0CA1 SIEMENS
63,Lager 61903 2Z SKF,"Rillenkugellager
61903 2Z
SKF"
64,Wellendichtring 35 x 62 x 10 BASL Viton,"Wellendichtring
35 x 62 x 10
BASL Viton"
65,GT-Motor KH77DRN100LS4BE5KCCTF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH77DRN100LS4BE5KCCTF
Leistung [kW]: 2,200 kW
Antriebsmoment (ma x ): 1.550,00 NM
Antriebsmoment (nenn): 740,00 NM
N1 Antriebsdrehzahl: 1.450,00 1/min
N2 Abtriebsdrehzahl: 28,00 1/min
Getriebeübersetzung i: 51,180
Spannung [50Hz]: 230D/400Y
Bauform: M1B
Klemmkastenlage: Normal
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Motor-Bremse: Ja
Bremsgroesse: 415VAC 28NM
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
66,Servomotor 1FK7105-2AF71-1RB0-Z,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FK7105-2AF71-1RB0-Z
N1 Antriebsdrehzahl:            3.000,00 1/min
N1 Antriebsdrehzahl:            5.000,00 1/min
Antriebsmoment:                 26,00 NM
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP64-Staubdicht/Spritzwasser
Motor-Bremse:                   24DC"
67,PN-Zylinder ADN-25-50-A-P-A 536258 FESTO,"Kompaktzylinder
ADN-25-50-A-P-A
536258
FESTO"
68,Mutter M36 LH 00746249 SIEMPELKAMP,"Sechskantmutter
M36 LH
Pos. 31
00746249
SIEMPELKAMP"
69,O-Ring 33x2-FKM80 0009632305 LINDE,"O-Ring
33x2-FKM80
0009632305
LINDE"
70,GT-Motor FA67DRN100LS4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: FA67 DRN100LS4/TF
Leistung [kW]: 2,200 kW
Antriebsmoment (ma x ): 495,00 Nm
N1 Antriebsdrehzahl: 1.450,00 1/min
N2 Abtriebsdrehzahl: 43,00 1/min
Getriebeübersetzung i: 34,010
Spannung [50Hz]: 230D/400Y
Bauform: M1
Baugröße: 100L (H=100 mm/Gehäuseausf.:L)
Klemmkastenlage: 180° Normal
Isolierklasse: Iso-Kl.: F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
71,Servomotor 1FT7105-5AF71-CB0-Z,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FT7105-5AF71-CB0-Z
N1 Antriebsdrehzahl: 3.000,00 1/min
Antriebsmoment: 28,00 NM
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser"
72,Wellendichtring 35 x 62 x 10 BASL,"Wellendichtring
35 x 62 x 10
BASL"
73,Servomotor 1PH8186-1HF132BD1-Z,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1PH8186-1HF132BD1-Z
Leistung [kW]: 94,000 kW
N1 Antriebsdrehzahl: 2.200,00 1/min
Bauform: B35
Isolierklasse: Iso-Kl.:H (tmax=180°C)
Schutzart: IP55-Staubablage/Strahlwasser"
74,"Kette 08A-2 12,7 1/2” x 7,85 mm DIN 8188","Kette
08A-2
Teilung: 12,7
Teilung: 1/2""
Innere breite: 7,85 mm
DIN 8188
ASA40"
75,Servomotor 1FT60621AH713AH1,"Synchron-Servomotor Drehantrieb
Hersteller SIEMENS
Typbezeichnung 1FT6062-1AH71-3AH1
Mo: 5,0 / 6,0Nm
Mh: 3,6Nm
Antriebsdrehzahl N1 4.500,00 1/min
Spannung 288V
Motorbremse 24V / 17W"
76,GT-Motor S37DRN63M4TH,"Getriebemotor
Hersteller: SEW
Typbezeichnung: S37 DRN63M4/TH
Leistung [kW]: 0,180 kW
N1 Antriebsdrehzahl: 1.375,00 1/min
N2 Abtriebsdrehzahl: 126,00 1/min
Getriebeübersetzung i: 10,910
Spannung [50Hz]: 220-240D/380-415Y
Bauform: M2A
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Motorvollschutz (Thermofühler): Ja"
77,ORing 33x2-FKM80 0009632305 LINDE,"ORing
33x2-FKM80
0009632305
LINDE"
78,Radialwellendichtring 35x62x12 BASL,"Radialwellendichtring
35x62x12
BASL"
79,Servomotor AM8052-1J21-9000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8052-1J21-9000
N1 Antriebsdrehzahl 4,000.00 1/min
Spannung 400V
Bauform B5
Isolierklasse F
Schutzart IP54
Art.Nr.: 10779584"
80,"ORing 34,00x3,50mm 70 Shore","ORing
34,00 x 3,50 mm
70° Shore"
81,Servomotor 1PH7163-7HF33-0BB3-Z M39,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1PH7163-7HF33-0BB3-Z M39
Leistung [kW]:                  31,000 kW
N1 Antriebsdrehzahl:            1.750,00 1/min
Spannung [50Hz]:                364Y
Bauform:                        B35
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
82,Servomotor 30PM068,"Servomotor
Hersteller                     SIBONI
Typbezeichnung                 30PM068
Leistung [kW]                  45,000 W
N1 Antriebsdrehzahl            1.950,00 1/min
Antriebsmoment                 0,22 NM
Spannung [50Hz]                24
Isolierklasse                  F
Schutzart                      IP44"
83,Lager 23940 CC/W33 SKF,"Lager
23940 CC/W33
SKF"
84,Wellendichtring 35 x 62 x 7 HMS5RG SKF,"Wellendichtring
35 x 62 x 7
HMS5RG
SKF"
85,Servomotor 1PH7101-7JF03-0BB3-Z M39,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1PH7101-7JF03-0BB3-Z M39
Leistung [kW]: 3,800 kW
N1 Antriebsdrehzahl: 1.750,00 1/min
Spannung [50Hz]: 398Y
Baugröße: B35
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser"
86,Wellendichtring 35x65x12 BASL,"Wellendichtring
35x65x12
BASL"
87,Schraube M6x25 DIN933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M6x25
5.6
verzinkt"
88,"ORing 330,30x5,70mm FPM 70 Shore A","ORing
330,30 х 5,70 mm
WST: FPM
70° Shore A"
89,GT-Motor KH107TDRN160M4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH107TDRN160M4TF
Leistung [kW]: 11,000 kW
N1 Antriebsdrehzahl: 1.776,00 1/min
N2 Abtriebsdrehzahl: 18,00 1/min
Getriebeübersetzung i: 100,750
Spannung [60Hz]: 266/460
Bauform: M1-M2B
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP65-Staubdicht/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
90,GT-Motor KH107TDRN160M4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH107TDRN160M4TF
Leistung [kW]: 11,000 kW
N1 Antriebsdrehzahl: 1.776,00 1/min
N2 Abtriebsdrehzahl: 18,00 1/min
Getriebeübersetzung i: 100,750
Spannung [60Hz]: 266/460
Bauform: M1-M2B
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP65-Staubdicht/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
91,Kettenrad 12B-1 Z13 d=18 m.Nut gehae.,"Kettenrad gehärtet
12B-1
Z = 13
D = 18 mm
mit Nut
M6"
92,Schraube M12 x 40 DIN 603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
M12 x 40
DIN 603
8.8
verzinkt"
93,Lager YAT203 SKF,"Lager
YAT203
SKF"
94,Servomotor 373E11Z2006S21,"Servomotor
Hersteller                BAELZ
Typbezeichnung            373 E11 Z-20-06-S21
Antriebsmoment            2000 Nm
Antriebsdrehzahl          6mm/min
Spannung                  230 V - 115 V
Isolierklasse             0-50°C - 0-75°C
Schutzart                 IP44"
95,Lager YAR 215-2F SKF,"Spannlager
YAR 215-2F
SKF"
96,Lager 7306 BE-2RZP SKF,"Schrägkugellager
7306 BE-2RZP
SKF"
97,Mutter M8 DIN6334 L=24mm verz.,"Verlängerungsmutter 3d hoch
M8 L = 24mm
DIN 6334
Automatenstahl
verzinkt"
98,Servomotor AM8052-0L20-0000,"Servomotor
Herstellerteilenummer: 105061_BECKHOFF
Hersteller: Beckhoff
Typbezeichnung: AM8052-0L20-0000
N1 Antriebsdrehzahl: 7.300,00 1/min
Antriebsmoment: 8,20 NM
Spannung [50Hz]: 400V
Bauform: B5
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser"
99,GT-Motor R87DRN132M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R87DRN132M4
Leistung [kW]:                  7,500 kW
Antriebsmoment (max):           1.390,00 NM
Antriebsmoment (nenn):          830,00 NM
N1 Antriebsdrehzahl:            1.468,00 1/min
N2 Abtriebsdrehzahl:            86,00 1/min
Getriebeübersetzung i:          17,080
Spannung [50Hz]:                380-400D/660-690Y
Bauform:                        M1
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency"
100,Servomotor 1FL60421AF612AA1,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FL6042-1AF61-2AA1
Leistung [kW]: 0,400 kW
Leistung [PS]: 0,540 PS
N1 Antriebsdrehzahl: 3.000,00 1/min
N1 Antriebsdrehzahl ma x .: 4.000,00 1/min
Antriebsmoment: 1,90 Nm
Antriebsmoment ma x .: 3,80 Nm
Spannung [50Hz]: 400 V
Bauform: B5
Isolierklasse: Iso-Kl.: B (tma x =130°C)
Schutzart: IP65-Staubdicht/Strahlwasser"
101,GT-Motor R77DRN100L4TFEK8R,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R77DRN100L4TFEK8R
Leistung [kW]: 3,000 kW
Antriebsmoment (max): 420,00 Nm
Antriebsmoment (nenn): 820,00 Nm
N1 Antriebsdrehzahl: 1.456,00 1/min
N2 Abtriebsdrehzahl: 82,00 1/min
Getriebeübersetzung i: 21,430
Spannung [50Hz]: 220-230D/380-400Y
Bauform: M3
Baugröße: 100L (H=100mm/Gehäuseausf.:L)
Isolierklasse: Iso-Kl.: F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
102,GT-Motor SA47DRE90M4,"Getriebemotor
Hersteller: SEW
Typbezeichnung: SA47DRE90M4
Leistung [kW]: 1,100 kW
Antriebsmoment (nenn): 120,00 NM
N1 Antriebsdrehzahl: 1.420,00 1/min
N2 Abtriebsdrehzahl: 73,00 1/min
Getriebeübersetzung i: 19,540
Spannung [50Hz]: 220-242D/380-420Y
Bauform: M1A
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE2 High Efficiency"
103,"O-Ring 33,3x2x4mm NBR70 0009632319 LINDE","O-Ring
33,3 x 2 x 4 mm
NBR70
0009632319
LINDE"
104,Lager BS222222RS5VT143 SKF,"Lager
BS222222RS5VT143
SKF"
105,Schraube M36 x 3 x 240 DIN 912 12.9 schw.,"Zylinderschraube mit Innensechskant
M36 x 3 x 240
DIN 912
12.9
schwarz"
106,GT-Motor FA47GDRN90S4TFAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 FA47/G DRN90S4/TF/AL
Leistung [kW]:                  1,100 kW
Antriebsmoment (max):           450,00 Nm
Antriebsmoment (nenn):          79,00 Nm
N1 Antriebsdrehzahl:            1.455,00 1/min
N2 Abtriebsdrehzahl:            133,00 1/min
Getriebeübersetzung i:          10,970
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M5
Baugröße:                       90S (H=90mm/Gehäuseausf.:S)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
107,GT-Motor KH107TDRN160M4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH107TDRN160M4TF
Leistung [kW]:                  11,000 kW
N1 Antriebsdrehzahl:            1.776,00 1/min
N2 Abtriebsdrehzahl:            18,00 1/min
Getriebeübersetzung i:          100,750
Spannung [60Hz]:                266/460
Bauform:                        M1-M2B
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP65-Staubdicht/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
108,"O-Ring 34,00x3,00mm EPDM 70Sh perox","O-Ring
34,00x3,00mm
EPDM 70Sh perox
900060128
KRONES"
109,GT-Motor K77DRN112M4TFAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 K77 DRN112M4/TF/AL
Leistung [kW]:                  4,000 kW
Antriebsmoment (max):           1.550,00 Nm
Antriebsmoment (nenn):          1.040,00 Nm
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            37,00 1/min
Getriebeübersetzung i:          40,040
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M1A
Baugröße:                       112M (H=112mm/Gehäuseausf.:M)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
110,Servomotor 1PH7167-7HG33-0BB3-Z M39,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1PH7167-7HG33-0BB3-Z M39
Leistung [kW]: 40,000 kW
N1 Antriebsdrehzahl: 2.300,00 1/min
Spannung [50Hz]: 400Y
Bauform: B35
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser"
111,"O-Ring 33,30 x 2,40 mm Viton FPM 85 Shore","O-Ring
33,30 x 2,40 mm
WST: Viton FKM/FPM
85° Shore"
112,Lager E1K C3 23152 SKF,"Lager
E1K C3
23152
SKF"
113,"O-Ring 34,00 x 3,50 mm 70 Shore","O-Ring
34,00 x 3,50 mm
70° Shore"
114,GT-Motor 404157,"Getriebemotor
Hersteller: OTT
Typbezeichnung: 404157
Antriebsmoment (max): 4,00 NM
Antriebsmoment (nenn): 0,50 NM
N1 Antriebsdrehzahl: 540,00 1/min
Spannung [50Hz]: 24
Schutzart: IP30-Fremdkörp>2,5mm/kein Wass
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: Unbekannt
Motorvollschutz (Thermofühler): Nein"
115,Lager 61907 2RZ SKF,"Rillenkugellager
61907 2RZ
SKF"
116,PN-Zylinder ADN-25-30-A-P-A 536256 FESTO,"Kompaktzylinder
ADN-25-30-A-P-A
536256
FESTO"
117,"O-Ring 33,0x5,0mm Viton FPM 80 Shore","O-Ring
33,00 x 5,00mm
WST: Viton FPM
80° Shore"
118,Keilriemen SPA 2532 LW,"Keilriemen
SPA 2532mm LW
Wirklänge ISO LW 2532mm
Innenlänge LI 2487mm
Außenlänge LA 2550mm"
119,Wellendichtring 35 x 62 x 8 BAUMSL Viton,"Wellendichtring
35 x 62 x 8
BAUMSL Viton"
120,Mutter M36 DIN982-8 verz.,"Sechskantmutter mit Polyamidklemmteil
hohe Form
M36
DIN 982-8
verzinkt"
