Materialnummer,Kurztext,Einkaufsbestelltext
994445,"Mutter M36x1,5 DIN439-04 verz.","Sechskantmutter niedrig
M30 x 1,5
DIN 439-04
verzinkt"
973456,"O-Ring 33,50x2,00mm N 01095200 KSB","O-Ring
33,5 x 2,0mm
N
01095200
KSB"
1060050,Schraube M30x240 DIN912 12.9 schw.,"Zylinderschraube mit Innensechskant
M30 x 240
DIN 912
12.9
schwarz"
1060906,Schraube M12x60 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x60
8.8
verzinkt"
1061069,Schraube M12x100 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x100
8.8
verzinkt"
1061095,Schraube M12x40 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
M12x40
DIN 603
8.8
verzinkt"
1067934,PN-Zylinder ADN-25-25-I-P-A 536263 FESTO,"Kompaktzylinder
ADN-25-25-I-P-A
536263
FESTO"
1357632,PN-Zylinder ADN-25-40-A-P-A 536257 FESTO,"Kompaktzylinder
ADN-25-40-A-P-A
536257
FESTO"
791559,Kettenrad 3-518-11-0150 HOMAG,"Kettenrad gehärtet
10B-1
Z = 14
D35+K 1:12
3-518-11-0150
HOMAG"
1061094,Schraube M12x70 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x70
8.8
verzinkt"
785291,Getriebe  K2L30080WP71111LUR,"Getriebe
Getriebehersteller             NOVENTAS
Getriebetyp                    K2L30080WP71111LUR
Herstellerserialnummer         01991249
Antriebsmoment (max)           45.000,00 NM
Übersetzung i                  71,900
Vorpressengetriebe K2L 30080 WP 71- 111/LUR
Technische Daten:
Antriebsmotor: 1PH7 224 (Siemens)
Motorleistung: 110 KW
Motorendrehzahl: 1750 min^-1
Min. Motordrehzahl: 51,42 min^-1
Max Motordrehzahl: 2571 min^-1
Feldschwächung
Getriebeuntersetzung I:71,9
Min. Abtriebsdrehzahl n2: 0,72 min^-1
Max. Abtriebsdrehzahl n2: 35,76 min^-1
Abtriebsmoment T2n: 40981 NM
Max. Anfahrmoment T2n:40981 NM
Einbaulage: Waagerecht
Incl. Hohlwelle D=150mm/140mm
Schrumpfscheibe
Befestigungsflansch fuer Momentenstuetze
(Ausführung wie A441.03.60)
Anschlussmasse Drehmomentstuetze:
Mass von Aussenkante Schrumpfscheibe bis Anschraubflaeche
Drehmomentstuetze:150 mm
Aussendurchmesser: 540mm
Lochkreisdurchmesser: 510mm
Bohrungsdurchmesser: 18mm
Teilung:24 X 15 Grad
Zentrierdurchmesser: 460mm
Drehmomentstuetze Lieferumfang SICO
Getriebeausführung bei Blick auf Hohlwelle:
Anbau Motor / Bremse : links
Drehrichtung : rechts
Bremsenhersteller: Deutsche van Rietschoten u. Houwens
Bremszange: 100.406.01(100 prozent Feder/280NM)
Bremsscheibe : D348 x 12,7 mm
Bremsenansteuerung: SK 9769/Ventilspannung 24V DC
Ueberwachungseinheit: SK0303/Initiator Fa. Pepperl und Fuchs 24VDC
Oelschmierung: Klüber Syntheso D100 EP
Geeignet fuer den Betrieb in Zone 22 nach EN 1127
Geraetekennzeichnung: II3D
Max. zulaessige Oberflaechentemperatur: 205 Grad C
No: W11351
Ident.Nr.:01991249
Auftragsnummer: 7070360/V8223801
Siempelkamp Teilenummer1: 01991249"
880349,Wellendichtring 35x62x8 BAUMSL Viton,"Wellendichtring
35x62x8
BAUMSL Viton"
969889,Servomotor 1FK71035AF711AH3Z,"Servomotor
Hersteller                     SIEMENS
Typbezeichnung                 1FK71035AF711AH3Z
Antriebsdrehzahl N1            3.000,00 1/min
Antriebsmoment                 36,00 NM
Isolierklasse                  F
Schutzart                      IP64"
948139,Wellendichtring 35x62x7 B1SL,"Wellendichtring
35x62x7
B1SL"
1163299,Thermistor 3RN1011-1BB00 SIEMENS,"Thermistor-Motorschutz
3RN1011-1BB00
SIEMENS"
194655,Servomotor 373E11Z2006S21,"Servomotor
Hersteller                BAELZ
Typbezeichnung            373 E11 Z-20-06-S21
Antriebsmoment            2000 Nm
Antriebsdrehzahl          6mm/min
Spannung                  230 V - 115 V
Isolierklasse             0-50°C - 0-75°C
Schutzart                 IP44"
195604,Servomotor 1FT60621AH713AH1,"Synchron-Servomotor Drehantrieb
Hersteller                     SIEMENS
Typbezeichnung                 1FT6062-1AH71-3AH1
Mo:                            5,0 / 6,0Nm
Mh:                            3,6Nm
Antriebsdrehzahl N1            4.500,00 1/min
Spannung                       288V
Motorbremse                    24V / 17W"
195609,GT-Motor KA37DRS80S4TH,"Getriebemotor
Hersteller                     SEW
Typbezeichnung                 KA37DRS80S4/TH
Motorleistung                  0,750 kW
Antriebsdrehzahl N1            1.400,00 1/min
Abtr.Drehzahl N2               206,00 1/min
Spannung                       230D/400Y
Bauform                        M4B
Isolierklasse                  F
Schutzart                      IP54
Ausführungsart                 Hohlwelle
Hohlwelle                      d = 30mm"
185876,"Kette 081 12,70 1/2""x3,30mm DIN8187","Rollenkette
081
Teilung: 12,70mm (1/2"")
Innere Breite: 3,30mm
DIN 8187"
234932,"O-Ring 33,30x2,40mm Viton FPM 85 Shore","O-Ring
33,30 x 2,40mm
WST: Viton FKM/FPM
85° Shore"
680283,"Kettenrad B-2 5/8"" Z30 vorg.gehae.","Kettenrad
für Zweifach-Rollenkette B-2
5/8""
Z = 30
vorgebohrt
Zahnkranz gehärtet"
196043,GT-Motor FA77DV100L4,"Getriebemotor
Hersteller                     SEW
Typbezeichnung                 FA77DV100L4
Motorleistung                  3,000 kW
Antriebsdrehzahl N1            1.400,00 1/min
Abtr.Drehzahl N2               37,00 1/min
Spannung                       230D/400Y
Bauform                        M1
Isolierklasse                  F
Schutzart                      IP54"
242080,Mutter M8 DIN928 schw.,"Anschweißmutter
M8
DIN 928 schwarz"
319064,PN-Zylinder ADN-25-30-A-P-A 536256 FESTO,"Kompaktzylinder
ADN-25-30-A-P-A
536256
FESTO"
319065,PN-Zylinder ADN-25-50-A-P-A 536258 FESTO,"Kompaktzylinder
ADN-25-50-A-P-A
536258
FESTO"
155947,Schraube M8x30 DIN912 10.9 schw.,"Zylinderschraube mit Innensechskant
M8 x 30
DIN 912
10.9
schwarz"
191195,Lager 2217 KC3 SKF,"Lager
2217 KC3
SKF"
420800,Servomotor 1PH71072HF030BB3,"Servomotor
Typbezeichnung                  1PH7107-2HF03-0BB3
Motorleistung                   9,000 kW
Antriebsdrehzahl N1             1.780,00  1/min
Bauform                         B35
Spannung                        400D
Frequenz                        60 Hz
Isolierklasse                   F
Schutzart                       IP54
Motorbremse                     keine Bremse
Motorgeber                      rel HTL 1024 INKU
mit zusätzlichem Wellendichtring im Lagerdeckel versehen"
420802,"Servomotor 1PH7103-2HF03  5,5kW  1500","Servomotor 1PH7103-2HF03-0BB3
1.Leistung                      5,5 kW
1.Antr.Drehzahl                 1.780,0  1/min
Bauform                         Fuß-/Flanschausführung B35
Spannung                        400D
Frequenz                        60 Hz
Isolierklasse                   Iso-Kl.:F (tmax=155°C)
Schutzart                       IP54-Staubablag./Spritzwasser
Motorbremse                     keine Bremse
Motorgeber                      rel HTL 1024 INKU"
420764,Servomotor 1PH7133-2HF03-0BB3,"Servomotor 1PH7133-2HF03-0BB3
1.Leistung                      15,00 kW
1.Antr.Drehzahl                 1.780,0  1/min
Bauform                         Fuß-/Flanschausführung B35
Spannung                        400D
Frequenz                        60 Hz
Isolierklasse                   Iso-Kl.:F (tmax=155°C)
Schutzart                       IP54-Staubablag./Spritzwasser"
675608,"Kettenrad B-2 1 1/4"" Z23 TLB 3030 gehae.","Kettenrad für Zweifach-Rollenkette
1 1/4"", Z23, für TL 3030
Zahnflanken gehärtet"
680363,Kettenrad KR90D100 Z10 d=85H7,"Kettenrad
KR90D100
Z = 10
10 Zähne, Zahnbreite 11 mm, nach oben verlängert
Rollendurchmesser 45mm
Nabengesamtlänge 71 mm, einseitig
Nabendurchmesser 130mm
aus S152-3, ungehärtet, mit Bohrung 85H7 ohne Nut"
680364,Kettenrad KR90D100 Z10 d=90H7,"Kettenrad
KR90D100
Z = 10
10 Zähne, Zahnbreite 11 mm, nach oben verlängert
Rollendurchmesser 45mm
Nabengesamtlänge 71 mm, einseitig
Nabendurchmesser 130mm
aus S152-3, ungehärtet, mit Bohrung 90H7 ohne Nut"
1041380,Servomotor 21586-088.34-3233-1 BUETTNER,"Servomotor
21586-088.34-3233-1
BUETTNER"
1124393,Servomotor 1FT60616AF713TA0,"Servomotor 		
Hersteller               Siemens		
Typenbezeichnung         1FT6061-6AF71-3TA0		
Motorleistung            1,100 kW		
Antriebsdrehzahl         3,000,00 1/min		
Spannung                 400V		
Bauform                  B5		
Isolierklasse            F		
Schutzart                IP64		
Leistungs-Signalstecker  Axial BS		
Resolver                 2-polig P=1"
1060266,Schraube M10x60H DIN444B 8.8,"Augenschraube
M10 x 60H
DIN 444B
10001815
VARISCO"
1082236,"O-Ring 339,30x5,70mm NBR70 Shore","O-Ring
339,3 x 5,7mm
WST: NBR
70 Shore"
1059959,Schraube M36x3x240 DIN912 12.9 schw.,"Zylinderschraube mit Innensechskant
M36 x 3 x 240
DIN 912
12.9
schwarz"
1779278,Mutter M36 LH 00746249 SIEMPELKAMP,"Sechskantmutter
M36 LH
Pos. 31
00746249
SIEMPELKAMP"
542920,Wellendichtring 35x62x7 B1,"Wellendichtring
35x62x7
B1"
1058976,Schraube M20x130 DIN938 8.8 schw.,"Stiftschraube
M20 x 130
DIN 938
8.8
schwarz"
944480,Mutter M8 DIN6923 8.8 verz.,"Mutter
M8
DIN 6923
8.8
verzinkt"
1057364,Schraube M12x40 DIN6912 10.9 schw.,"Zylinderschraube mit Innensechskant
M12 x 40
DIN 6912
10.9
schwarz"
1539074,Servomotor AG04B,"Servomotor
Hersteller                     PSE
Typbezeichnung                 AG04B
Leistung                       0,160 kW
Spannung [50Hz]                24V DC
Strom                          6,6 A"
1609205,PN-Zylinder ADN-25-40-I-P-A 536265 FESTO,"Kompaktzylinder
ADN-25-40-I-P-A
536265
FESTO"
145475,Wellendichtring 35x65x12 BASL,"Wellendichtring
35x65x12
BASL"
372397,Wellendichtring 35x62x10 BASL Viton,"Wellendichtring
35x62x10
BASL Viton"
114625,Wellendichtring 35x62x8 BASL,"Wellendichtring
35x62x8
BASL"
1908674,Lager 23224 CC/W33-C4 SKF,"Lager
23224
CC/W33-C4
SKF"
1891990,"O-Ring 34,00x3,00mm EPDM 70Sh perox","O-Ring
34,00x3,00mm
EPDM 70Sh perox
900060128
KRONES"
1892207,Lager 180x225x22mm 61836 SKF,"Lager
180x225x22mm
61836
SKF"
1892208,Lager 215x170x22mm 61834 SKF,"Lager
215x170x22mm
61834
SKF"
1904110,Lager YAR214 SKF,"Lager
YAR214
SKF"
1904114,Lager BS222222RS5VT143 SKF,"Lager
BS222222RS5VT143
SKF"
1904384,Lager 22316 EKC3W33 SKF,"Lager
22316 EKC3W33
SKF"
1904317,Lager 23940 CC/W33 SKF,"Lager
23940 CC/W33
SKF"
1904136,Lager 22228CCK SKF,"Lager
22228CCK
SKF"
1904133,Lager 23134 E1AM SKF,"Lager
23134 E1AM
SKF"
1904125,Lager 23130CCK SKF,"Lager
23130CCK
SKF"
1904111,Lager YAT203 SKF,"Lager
YAT203
SKF"
1904527,Lager 16010 SKF,"Lager
16010
SKF"
1904501,Lager 2208EKTN9C3 SKF,"Lager
2208EKTN9C3
SKF"
1904434,Lager 23230 CCW33C3 SKF,"Lager
23230 CCW33C3
SKF"
1904371,"O-Ring 33,3mm 90Sh FKM NBR","O-Ring
33,3mm
90Sh
FKM NBR"
1904489,Lager 6313/C4 SKF,"Lager
6313/C4
SKF"
1909946,O-Ring 33x2-FKM80 0009632305 LINDE,"O-Ring
33x2-FKM80
0009632305
LINDE"
1910244,"Mutter M36x1,5-17H 9218201324 LINDE","Mutter
M36x1,5-17H
9218201324
LINDE"
1870121,Lager 61903 2Z SKF,"Rillenkugellager
61903 2Z
SKF"
1890173,"O-Ring 33,3x2x4mm NBR70 0009632319 LINDE","O-Ring
33,3 x 2 x 4 mm
NBR70
0009632319
LINDE"
1910471,"Mutter M36x1,5 DIN935-1 Stahl schw.","Kronenmutter
M36 x 1,5
DIN 935-1
6 Automatenstahl
schwarz"
1963315,GT-Motor FH77DRU100L4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 FH77DRU100L4TF
Leistung [kW]:                  2,200 kW
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            20,00 1/min
Getriebeübersetzung i:          75,020
Spannung [50Hz]:                230D/400Y
Bauform:                        M1
Baugröße:                       100L  (H=100mm/Gehäuseausf.:L)
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP65-Staubdicht/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE4 Super Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1963319,GT-Motor R147DRN180M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R147DRN180M4
Leistung [kW]:                  18,500 kW
Antriebsmoment (max):           13.000,00 NM
Antriebsmoment (nenn):          6.320,00 NM
N1 Antriebsdrehzahl:            1.478,00 1/min
N2 Abtriebsdrehzahl:            28,00 1/min
Getriebeübersetzung i:          52,870
Spannung [50Hz]:                400D/690Y
Bauform:                        M1
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency"
1963324,GT-Motor KA19BTDRN80MK4EK8SPK,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KA19BTDRN80MK4EK8SPK
Leistung [kW]:                  0,550 kW
Antriebsmoment (max):           80,00 NM
N1 Antriebsdrehzahl:            1.745,00 1/min
N2 Abtriebsdrehzahl:            218,00 1/min
Getriebeübersetzung i:          8,010
Spannung [50Hz]:                220-240D/380-415Y
Bauform:                        M2A
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Bremsgroesse:                   NM30/24
Energieeffizienzklasse:         IE3 Premium Efficiency"
1963334,GT-Motor DRN71M4BE05FTTH,"Getriebemotor
Herstellerteilenummer:          XXXX_SIEMPELKAMP
Hersteller:                     SEW
Typbezeichnung:                 DRN71M4BE05FTTH
Leistung [kW]:                  0,370 kW
Antriebsmoment (max):           56,00 NM
Antriebsmoment (nenn):          19,00 NM
N1 Antriebsdrehzahl:            1.415,00 1/min
Bauform:                        M1
Schutzart:                      IP55-Staubablage/Strahlwasser
Bremsgroesse:                   24 DC
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1963347,GT-Motor 404157,"Getriebemotor
Hersteller:                     OTT
Typbezeichnung:                 404157
Antriebsmoment (max):           4,00 NM
Antriebsmoment (nenn):          0,50 NM
N1 Antriebsdrehzahl:            540,00 1/min
Spannung [50Hz]:                24
Schutzart:                      IP30-Fremdkörp>2,5mm/kein Wass
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         Unbekannt
Motorvollschutz (Thermofühler): Nein"
1963354,GT-Motor SA47DRE90M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 SA47DRE90M4
Leistung [kW]:                  1,100 kW
Antriebsmoment (nenn):          120,00 NM
N1 Antriebsdrehzahl:            1.420,00 1/min
N2 Abtriebsdrehzahl:            73,00 1/min
Getriebeübersetzung i:          19,540
Spannung [50Hz]:                220-242D/380-420Y
Bauform:                        M1A
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE2 High Efficiency"
1963323,GT-Motor WAF30DRN80MK4TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 WAF30DRN80MK4TH
Leistung [kW]:                  0,550 kW
N1 Antriebsdrehzahl:            1.435,00 1/min
N2 Abtriebsdrehzahl:            175,00 1/min
Getriebeübersetzung i:          8,200
Spannung [50Hz]:                220-240D/380-415Y
Bauform:                        M5A
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1963351,GT-Motor R60DT80K4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R60DT80K4TF
Leistung [kW]:                  0,550 kW
N1 Antriebsdrehzahl:            1.380,00 1/min
N2 Abtriebsdrehzahl:            48,00 1/min
Getriebeübersetzung i:          28,750
Spannung [50Hz]:                220D/380Y
Bauform:                        B3
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Motorvollschutz (Thermofühler): Ja"
1835317,Touch Panel 6AV2128-3MB06-0AX1 SIEMENS,"Touch Panel
12""
6AV2128-3MB06-0AX1
SIEMENS"
1895328,Lager 7306 BE-2RZP SKF,"Schrägkugellager
7306 BE-2RZP
SKF"
1957734,GT-Motor S37DRN63M4TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 S37 DRN63M4/TH
Leistung [kW]:                  0,180 kW
N1 Antriebsdrehzahl:            1.375,00 1/min
N2 Abtriebsdrehzahl:            126,00 1/min
Getriebeübersetzung i:          10,910
Spannung [50Hz]:                220-240D/380-415Y
Bauform:                        M2A
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Motorvollschutz (Thermofühler): Ja"
1870635,Lager NCF 2932 V SKF,"Zylinderrollenlager
NCF 2932 V
SKF"
1939189,Lager BC1-0313 SKF,"Lager
BC1-0313
SKF"
1874669,"Mutter M36x1,5 10007871 WEINIG","Mutter
M36 x 1,5
DA58 LG.7
10007871
WEINIG"
1885479,Lager 61832 2RSMW SKF,"Rillenkugellager
61832 2RS-MW
SKF"
